date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:57	9202/9202	---M-Z	200	added ('OK')	text/html	etag:W/%225d7929fe-23f2%22	https://mykeinstein.github.io/toluwade/ToluWade/index.html	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/index.html	(from )
18:55:00	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cb8e37f-239b%22	https://mykeinstein.github.io/robots.txt		(from )
18:55:02	45224/45224	---M--	200	added ('OK')	image/png	etag:%225d7929fe-b0a8%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/ogp.png	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/ogp.png	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:04	4858/4858	---M-Z	200	added ('OK')	text/css	etag:W/%225d7929fe-12fa%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/css/jquery.fullPage.css	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/css/jquery.fullPage.css	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:06	32808/32808	---M-Z	200	added ('OK')	text/css	etag:W/%225d7929fe-8028%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/css/common.css	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/css/common.css	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:08	35472/35472	---M-Z	200	added ('OK')	text/css	etag:W/%225d7929fe-8a90%22	https://mykeinstein.github.io/toluwade/use.fontawesome.com/releases/v5.0.6/css/all.css	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/use.fontawesome.com/releases/v5.0.6/css/all.css	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:09	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225d7929fe-47e%22	https://mykeinstein.github.io/toluwade/ToluWade/favicon.ico	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/favicon.ico	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:09	4278/4278	---M--	200	added ('OK')	image/png	etag:%225d7929fe-10b6%22	https://mykeinstein.github.io/toluwade/ToluWade/apple-touch-icon.png	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/apple-touch-icon.png	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:09	2639/2639	---M-Z	200	added ('OK')	text/css	etag:W/%225d7929fe-a4f%22	https://mykeinstein.github.io/toluwade/ToluWade/awwwards.css	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/awwwards.css	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:10	7236/7236	---M-Z	200	added ('OK')	text/html	etag:W/%225d7929fe-1c44%22	https://mykeinstein.github.io/toluwade/ToluWade/reile.html	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/reile.html	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:12	18615/18615	---M-Z	200	added ('OK')	text/html	etag:W/%225d7929fe-48b7%22	https://mykeinstein.github.io/toluwade/ToluWade/about.html	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/about.html	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:14	3099/3099	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d7929fe-c1b%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/cloud1.svg	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/cloud1.svg	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:14	2928/2928	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d7929fe-b70%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/b_cloud02.svg	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/b_cloud02.svg	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:15	2893/2893	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d7929fe-b4d%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/cloud2.svg	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/cloud2.svg	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:15	1062/1062	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d7929fe-426%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/moon.svg	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/moon.svg	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:16	2910/2910	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d7929fe-b5e%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/cloud3.svg	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/cloud3.svg	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:16	2924/2924	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d7929fe-b6c%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/b_cloud01.svg	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/b_cloud01.svg	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
18:55:17	6065/6065	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d7929fe-17b1%22	https://mykeinstein.github.io/toluwade/ToluWade/assets/img/star.svg	C:/My%20Web%20Sites/krish/mykeinstein.github.io/toluwade/ToluWade/assets/img/star.svg	(from https://mykeinstein.github.io/toluwade/ToluWade/index.html)
